user_id,top_contributors
75,"['workout_duration', 'active_energy', 'resting_hr']"
76,"['workout_duration', 'distance', 'avg_hr']"
77,"['workout_duration', 'active_energy', 'resting_hr']"
78,"['workout_duration', 'active_energy', 'avg_hr']"
79,"['workout_duration', 'active_energy', 'resting_hr']"
80,"['workout_duration', 'avg_hr', 'exercise_time']"
81,"['workout_duration', 'exercise_time', 'resting_hr']"
82,"['workout_duration', 'active_energy', 'resting_hr']"
83,"['active_energy', 'workout_duration', 'resting_hr']"
84,"['workout_duration', 'active_energy', 'resting_hr']"
85,"['workout_duration', 'exercise_time', 'active_energy']"
86,"['workout_duration', 'active_energy', 'avg_hr']"
87,"['workout_duration', 'avg_hr', 'exercise_time']"
88,"['workout_duration', 'active_energy', 'avg_hr']"
89,"['workout_duration', 'avg_hr', 'active_energy']"
90,"['active_energy', 'avg_hr', 'exercise_time']"
91,"['workout_duration', 'resting_hr', 'active_energy']"
92,"['avg_hr', 'active_energy', 'workout_duration']"
93,"['workout_duration', 'active_energy', 'avg_hr']"
94,"['workout_duration', 'avg_hr', 'active_energy']"
95,"['workout_duration', 'active_energy', 'avg_hr']"
96,"['workout_duration', 'avg_hr', 'sleep_duration']"
97,"['workout_duration', 'avg_hr', 'active_energy']"
98,"['workout_duration', 'active_energy', 'avg_hr']"
99,"['workout_duration', 'avg_hr', 'active_energy']"
100,"['workout_duration', 'active_energy', 'exercise_time']"
101,"['avg_hr', 'workout_duration', 'active_energy']"
102,"['workout_duration', 'steps', 'sleep_duration']"
103,"['workout_duration', 'active_energy', 'avg_hr']"
104,"['active_energy', 'workout_duration', 'distance']"
105,"['workout_duration', 'active_energy', 'exercise_time']"
106,"['workout_duration', 'avg_hr', 'active_energy']"
107,"['workout_duration', 'steps', 'active_energy']"
108,"['workout_duration', 'avg_hr', 'active_energy']"
109,"['steps', 'workout_duration', 'resting_hr']"
110,"['workout_duration', 'active_energy', 'avg_hr']"
111,"['active_energy', 'workout_duration', 'exercise_time']"
112,"['workout_duration', 'sleep_duration', 'avg_hr']"
113,"['workout_duration', 'sleep_duration', 'active_energy']"
114,"['active_energy', 'workout_duration', 'avg_hr']"
115,"['workout_duration', 'active_energy', 'exercise_time']"
116,"['avg_hr', 'sleep_duration', 'workout_duration']"
117,"['workout_duration', 'sleep_duration', 'active_energy']"
118,"['workout_duration', 'active_energy', 'exercise_time']"
119,"['workout_duration', 'active_energy', 'avg_hr']"
120,"['active_energy', 'workout_duration', 'exercise_time']"
121,"['workout_duration', 'sleep_duration', 'avg_hr']"
122,"['workout_duration', 'active_energy', 'distance']"
123,"['active_energy', 'steps', 'avg_hr']"
124,"['workout_duration', 'active_energy', 'exercise_time']"
125,"['workout_duration', 'resting_hr', 'avg_hr']"
126,"['workout_duration', 'avg_hr', 'active_energy']"
127,"['active_energy', 'workout_duration', 'sleep_duration']"
128,"['workout_duration', 'active_energy', 'sleep_duration']"
129,"['active_energy', 'avg_hr', 'workout_duration']"
130,"['avg_hr', 'active_energy', 'workout_duration']"
131,"['workout_duration', 'active_energy', 'avg_hr']"
132,"['workout_duration', 'avg_hr', 'resting_hr']"
133,"['workout_duration', 'avg_hr', 'distance']"
134,"['workout_duration', 'active_energy', 'avg_hr']"
135,"['active_energy', 'exercise_time', 'avg_hr']"
136,"['workout_duration', 'resting_hr', 'avg_hr']"
137,"['workout_duration', 'active_energy', 'steps']"
138,"['active_energy', 'workout_duration', 'exercise_time']"
139,"['workout_duration', 'active_energy', 'distance']"
140,"['workout_duration', 'active_energy', 'avg_hr']"
141,"['workout_duration', 'active_energy', 'avg_hr']"
142,"['active_energy', 'workout_duration', 'exercise_time']"
143,"['workout_duration', 'resting_hr', 'active_energy']"
144,"['active_energy', 'sleep_duration', 'workout_duration']"
145,"['workout_duration', 'active_energy', 'avg_hr']"
146,"['workout_duration', 'exercise_time', 'steps']"
147,"['workout_duration', 'steps', 'sleep_duration']"
148,"['workout_duration', 'active_energy', 'sleep_duration']"
149,"['workout_duration', 'avg_hr', 'exercise_time']"
150,"['workout_duration', 'active_energy', 'avg_hr']"
151,"['workout_duration', 'active_energy', 'exercise_time']"
152,"['active_energy', 'workout_duration', 'avg_hr']"
153,"['active_energy', 'workout_duration', 'avg_hr']"
154,"['workout_duration', 'active_energy', 'sleep_duration']"
155,"['workout_duration', 'avg_hr', 'distance']"
156,"['workout_duration', 'active_energy', 'exercise_time']"
157,"['workout_duration', 'active_energy', 'distance']"
158,"['workout_duration', 'active_energy', 'avg_hr']"
159,"['workout_duration', 'active_energy', 'sleep_duration']"
160,"['workout_duration', 'active_energy', 'exercise_time']"
161,"['workout_duration', 'active_energy', 'exercise_time']"
162,"['workout_duration', 'active_energy', 'avg_hr']"
163,"['workout_duration', 'active_energy', 'sleep_duration']"
164,"['workout_duration', 'active_energy', 'distance']"
165,"['workout_duration', 'active_energy', 'avg_hr']"
166,"['active_energy', 'avg_hr', 'workout_duration']"
167,"['workout_duration', 'avg_hr', 'active_energy']"
168,"['active_energy', 'workout_duration', 'distance']"
169,"['active_energy', 'workout_duration', 'distance']"
170,"['workout_duration', 'avg_hr', 'resting_hr']"
171,"['workout_duration', 'distance', 'active_energy']"
172,"['active_energy', 'workout_duration', 'resting_hr']"
173,"['workout_duration', 'active_energy', 'distance']"
174,"['workout_duration', 'active_energy', 'avg_hr']"
175,"['workout_duration', 'active_energy', 'sleep_duration']"
176,"['workout_duration', 'avg_hr', 'active_energy']"
177,"['avg_hr', 'workout_duration', 'active_energy']"
178,"['workout_duration', 'active_energy', 'steps']"
179,"['workout_duration', 'distance', 'active_energy']"
180,"['workout_duration', 'active_energy', 'avg_hr']"
181,"['avg_hr', 'workout_duration', 'exercise_time']"
182,"['workout_duration', 'sleep_duration', 'resting_hr']"
183,"['workout_duration', 'active_energy', 'steps']"
184,"['workout_duration', 'active_energy', 'resting_hr']"
185,"['active_energy', 'workout_duration', 'exercise_time']"
186,"['workout_duration', 'sleep_duration', 'distance']"
187,"['workout_duration', 'active_energy', 'steps']"
188,"['workout_duration', 'active_energy', 'avg_hr']"
189,"['workout_duration', 'active_energy', 'avg_hr']"
190,"['avg_hr', 'workout_duration', 'active_energy']"
191,"['workout_duration', 'active_energy', 'steps']"
192,"['workout_duration', 'active_energy', 'avg_hr']"
193,"['active_energy', 'exercise_time', 'sleep_duration']"
194,"['active_energy', 'workout_duration', 'resting_hr']"
195,"['workout_duration', 'resting_hr', 'distance']"
196,"['workout_duration', 'active_energy', 'steps']"
197,"['active_energy', 'workout_duration', 'distance']"
198,"['active_energy', 'workout_duration', 'avg_hr']"
199,"['workout_duration', 'active_energy', 'sleep_duration']"
200,"['workout_duration', 'active_energy', 'avg_hr']"
201,"['workout_duration', 'active_energy', 'avg_hr']"
202,"['workout_duration', 'avg_hr', 'active_energy']"
203,"['workout_duration', 'active_energy', 'avg_hr']"
204,"['active_energy', 'workout_duration', 'resting_hr']"
205,"['workout_duration', 'avg_hr', 'active_energy']"
206,"['workout_duration', 'active_energy', 'sleep_duration']"
207,"['active_energy', 'workout_duration', 'avg_hr']"
208,"['avg_hr', 'workout_duration', 'active_energy']"
209,"['active_energy', 'workout_duration', 'exercise_time']"
210,"['workout_duration', 'active_energy', 'steps']"
211,"['workout_duration', 'active_energy', 'exercise_time']"
212,"['workout_duration', 'active_energy', 'avg_hr']"
213,"['workout_duration', 'avg_hr', 'active_energy']"
214,"['workout_duration', 'avg_hr', 'active_energy']"
215,"['workout_duration', 'resting_hr', 'avg_hr']"
216,"['workout_duration', 'exercise_time', 'active_energy']"
217,"['workout_duration', 'avg_hr', 'active_energy']"
218,"['active_energy', 'workout_duration', 'avg_hr']"
219,"['active_energy', 'workout_duration', 'avg_hr']"
220,"['workout_duration', 'active_energy', 'steps']"
221,"['workout_duration', 'active_energy', 'steps']"
222,"['workout_duration', 'avg_hr', 'distance']"
223,"['workout_duration', 'active_energy', 'exercise_time']"
224,"['active_energy', 'workout_duration', 'avg_hr']"
225,"['workout_duration', 'active_energy', 'avg_hr']"
226,"['workout_duration', 'avg_hr', 'active_energy']"
227,"['workout_duration', 'distance', 'active_energy']"
228,"['workout_duration', 'avg_hr', 'active_energy']"
229,"['workout_duration', 'active_energy', 'avg_hr']"
230,"['workout_duration', 'active_energy', 'avg_hr']"
231,"['workout_duration', 'active_energy', 'avg_hr']"
232,"['workout_duration', 'active_energy', 'sleep_duration']"
233,"['workout_duration', 'active_energy', 'resting_hr']"
234,"['workout_duration', 'active_energy', 'avg_hr']"
235,"['avg_hr', 'workout_duration', 'steps']"
236,"['active_energy', 'workout_duration', 'exercise_time']"
237,"['workout_duration', 'avg_hr', 'steps']"
238,"['active_energy', 'workout_duration', 'resting_hr']"
239,"['workout_duration', 'active_energy', 'exercise_time']"
240,"['workout_duration', 'active_energy', 'avg_hr']"
241,"['workout_duration', 'active_energy', 'distance']"
242,"['workout_duration', 'active_energy', 'sleep_duration']"
243,"['workout_duration', 'resting_hr', 'steps']"
244,"['workout_duration', 'steps', 'active_energy']"
245,"['active_energy', 'workout_duration', 'avg_hr']"
246,"['workout_duration', 'active_energy', 'steps']"
247,"['avg_hr', 'workout_duration', 'distance']"
248,"['workout_duration', 'active_energy', 'avg_hr']"
249,"['active_energy', 'workout_duration', 'exercise_time']"
250,"['active_energy', 'workout_duration', 'exercise_time']"
251,"['active_energy', 'workout_duration', 'distance']"
252,"['workout_duration', 'active_energy', 'distance']"
253,"['active_energy', 'workout_duration', 'avg_hr']"
254,"['active_energy', 'workout_duration', 'avg_hr']"
255,"['workout_duration', 'avg_hr', 'exercise_time']"
256,"['workout_duration', 'active_energy', 'steps']"
257,"['active_energy', 'workout_duration', 'distance']"
258,"['workout_duration', 'active_energy', 'exercise_time']"
259,"['workout_duration', 'exercise_time', 'active_energy']"
260,"['active_energy', 'avg_hr', 'workout_duration']"
261,"['workout_duration', 'active_energy', 'distance']"
262,"['sleep_duration', 'workout_duration', 'active_energy']"
263,"['workout_duration', 'active_energy', 'distance']"
264,"['active_energy', 'avg_hr', 'workout_duration']"
265,"['workout_duration', 'active_energy', 'avg_hr']"
266,"['workout_duration', 'active_energy', 'steps']"
267,"['active_energy', 'workout_duration', 'avg_hr']"
268,"['workout_duration', 'exercise_time', 'active_energy']"
269,"['workout_duration', 'active_energy', 'avg_hr']"
270,"['workout_duration', 'active_energy', 'distance']"
271,"['workout_duration', 'avg_hr', 'active_energy']"
272,"['workout_duration', 'avg_hr', 'resting_hr']"
273,"['workout_duration', 'active_energy', 'sleep_duration']"
274,"['active_energy', 'workout_duration', 'distance']"
275,"['workout_duration', 'active_energy', 'steps']"
276,"['active_energy', 'workout_duration', 'exercise_time']"
277,"['workout_duration', 'sleep_duration', 'active_energy']"
278,"['active_energy', 'workout_duration', 'sleep_duration']"
279,"['avg_hr', 'exercise_time', 'active_energy']"
280,"['active_energy', 'workout_duration', 'resting_hr']"
281,"['active_energy', 'distance', 'workout_duration']"
282,"['active_energy', 'workout_duration', 'steps']"
283,"['workout_duration', 'avg_hr', 'exercise_time']"
284,"['workout_duration', 'active_energy', 'avg_hr']"
285,"['active_energy', 'workout_duration', 'sleep_duration']"
286,"['workout_duration', 'sleep_duration', 'steps']"
287,"['workout_duration', 'active_energy', 'avg_hr']"
288,"['workout_duration', 'sleep_duration', 'distance']"
289,"['active_energy', 'workout_duration', 'avg_hr']"
290,"['active_energy', 'workout_duration', 'exercise_time']"
291,"['workout_duration', 'distance', 'avg_hr']"
292,"['workout_duration', 'active_energy', 'avg_hr']"
293,"['workout_duration', 'steps', 'distance']"
294,"['active_energy', 'workout_duration', 'distance']"
295,"['workout_duration', 'active_energy', 'steps']"
296,"['workout_duration', 'active_energy', 'sleep_duration']"
297,"['workout_duration', 'active_energy', 'sleep_duration']"
298,"['workout_duration', 'exercise_time', 'sleep_duration']"
299,"['workout_duration', 'active_energy', 'exercise_time']"
300,"['workout_duration', 'active_energy', 'exercise_time']"
301,"['workout_duration', 'active_energy', 'sleep_duration']"
302,"['active_energy', 'workout_duration', 'avg_hr']"
303,"['workout_duration', 'distance', 'active_energy']"
304,"['workout_duration', 'steps', 'avg_hr']"
305,"['workout_duration', 'sleep_duration', 'avg_hr']"
306,"['active_energy', 'workout_duration', 'distance']"
307,"['workout_duration', 'resting_hr', 'sleep_duration']"
308,"['active_energy', 'workout_duration', 'exercise_time']"
309,"['workout_duration', 'active_energy', 'resting_hr']"
310,"['workout_duration', 'active_energy', 'avg_hr']"
311,"['workout_duration', 'avg_hr', 'steps']"
312,"['workout_duration', 'distance', 'avg_hr']"
313,"['active_energy', 'workout_duration', 'avg_hr']"
314,"['workout_duration', 'avg_hr', 'steps']"
315,"['workout_duration', 'distance', 'avg_hr']"
316,"['workout_duration', 'active_energy', 'exercise_time']"
317,"['workout_duration', 'steps', 'avg_hr']"
318,"['workout_duration', 'steps', 'active_energy']"
319,"['active_energy', 'avg_hr', 'workout_duration']"
320,"['active_energy', 'workout_duration', 'avg_hr']"
321,"['workout_duration', 'active_energy', 'avg_hr']"
322,"['workout_duration', 'distance', 'exercise_time']"
323,"['workout_duration', 'sleep_duration', 'avg_hr']"
324,"['active_energy', 'workout_duration', 'steps']"
325,"['workout_duration', 'active_energy', 'avg_hr']"
326,"['workout_duration', 'active_energy', 'steps']"
327,"['active_energy', 'workout_duration', 'avg_hr']"
328,"['workout_duration', 'active_energy', 'avg_hr']"
329,"['workout_duration', 'active_energy', 'resting_hr']"
330,"['active_energy', 'workout_duration', 'avg_hr']"
331,"['workout_duration', 'avg_hr', 'resting_hr']"
332,"['workout_duration', 'active_energy', 'exercise_time']"
333,"['workout_duration', 'active_energy', 'avg_hr']"
334,"['workout_duration', 'avg_hr', 'distance']"
335,"['workout_duration', 'active_energy', 'distance']"
336,"['sleep_duration', 'active_energy', 'workout_duration']"
337,"['workout_duration', 'active_energy', 'exercise_time']"
338,"['avg_hr', 'active_energy', 'steps']"
339,"['workout_duration', 'active_energy', 'avg_hr']"
340,"['active_energy', 'workout_duration', 'exercise_time']"
341,"['active_energy', 'workout_duration', 'avg_hr']"
342,"['active_energy', 'workout_duration', 'avg_hr']"
343,"['active_energy', 'workout_duration', 'sleep_duration']"
344,"['workout_duration', 'active_energy', 'distance']"
345,"['active_energy', 'workout_duration', 'avg_hr']"
346,"['workout_duration', 'avg_hr', 'exercise_time']"
347,"['workout_duration', 'active_energy', 'avg_hr']"
348,"['active_energy', 'workout_duration', 'avg_hr']"
349,"['active_energy', 'avg_hr', 'workout_duration']"
350,"['distance', 'active_energy', 'avg_hr']"
351,"['active_energy', 'workout_duration', 'distance']"
352,"['workout_duration', 'avg_hr', 'active_energy']"
353,"['workout_duration', 'avg_hr', 'active_energy']"
354,"['active_energy', 'workout_duration', 'sleep_duration']"
355,"['workout_duration', 'avg_hr', 'distance']"
356,"['workout_duration', 'resting_hr', 'active_energy']"
357,"['avg_hr', 'workout_duration', 'active_energy']"
358,"['active_energy', 'workout_duration', 'resting_hr']"
359,"['workout_duration', 'steps', 'active_energy']"
360,"['avg_hr', 'workout_duration', 'active_energy']"
361,"['workout_duration', 'active_energy', 'avg_hr']"
362,"['avg_hr', 'active_energy', 'workout_duration']"
363,"['workout_duration', 'active_energy', 'steps']"
364,"['workout_duration', 'active_energy', 'sleep_duration']"
365,"['workout_duration', 'active_energy', 'sleep_duration']"
366,"['workout_duration', 'active_energy', 'steps']"
367,"['workout_duration', 'steps', 'avg_hr']"
368,"['workout_duration', 'active_energy', 'avg_hr']"
369,"['active_energy', 'workout_duration', 'avg_hr']"
370,"['workout_duration', 'active_energy', 'sleep_duration']"
371,"['workout_duration', 'active_energy', 'steps']"
372,"['workout_duration', 'active_energy', 'exercise_time']"
373,"['workout_duration', 'active_energy', 'distance']"
374,"['active_energy', 'workout_duration', 'sleep_duration']"
375,"['workout_duration', 'avg_hr', 'distance']"
376,"['workout_duration', 'active_energy', 'avg_hr']"
377,"['active_energy', 'workout_duration', 'avg_hr']"
378,"['workout_duration', 'sleep_duration', 'distance']"
379,"['workout_duration', 'avg_hr', 'active_energy']"
380,"['workout_duration', 'distance', 'active_energy']"
381,"['workout_duration', 'active_energy', 'avg_hr']"
382,"['workout_duration', 'active_energy', 'avg_hr']"
383,"['workout_duration', 'active_energy', 'avg_hr']"
384,"['workout_duration', 'active_energy', 'resting_hr']"
385,"['workout_duration', 'active_energy', 'avg_hr']"
386,"['workout_duration', 'avg_hr', 'active_energy']"
387,"['workout_duration', 'active_energy', 'steps']"
388,"['distance', 'active_energy', 'resting_hr']"
389,"['active_energy', 'workout_duration', 'avg_hr']"
390,"['active_energy', 'workout_duration', 'resting_hr']"
391,"['sleep_duration', 'avg_hr', 'workout_duration']"
392,"['workout_duration', 'avg_hr', 'distance']"
393,"['workout_duration', 'active_energy', 'steps']"
394,"['workout_duration', 'active_energy', 'avg_hr']"
395,"['workout_duration', 'active_energy', 'resting_hr']"
396,"['active_energy', 'avg_hr', 'workout_duration']"
397,"['workout_duration', 'active_energy', 'steps']"
398,"['workout_duration', 'active_energy', 'steps']"
399,"['active_energy', 'workout_duration', 'avg_hr']"
400,"['workout_duration', 'active_energy', 'distance']"
401,"['workout_duration', 'active_energy', 'sleep_duration']"
402,"['workout_duration', 'active_energy', 'resting_hr']"
403,"['workout_duration', 'active_energy', 'sleep_duration']"
404,"['workout_duration', 'resting_hr', 'active_energy']"
405,"['workout_duration', 'sleep_duration', 'avg_hr']"
406,"['workout_duration', 'avg_hr', 'active_energy']"
407,"['workout_duration', 'active_energy', 'sleep_duration']"
408,"['workout_duration', 'active_energy', 'avg_hr']"
409,"['avg_hr', 'workout_duration', 'active_energy']"
410,"['workout_duration', 'avg_hr', 'distance']"
411,"['workout_duration', 'active_energy', 'distance']"
412,"['active_energy', 'workout_duration', 'exercise_time']"
413,"['active_energy', 'workout_duration', 'exercise_time']"
414,"['workout_duration', 'avg_hr', 'active_energy']"
415,"['active_energy', 'workout_duration', 'avg_hr']"
416,"['active_energy', 'avg_hr', 'workout_duration']"
417,"['workout_duration', 'steps', 'active_energy']"
418,"['active_energy', 'workout_duration', 'avg_hr']"
419,"['workout_duration', 'steps', 'active_energy']"
420,"['active_energy', 'avg_hr', 'workout_duration']"
421,"['workout_duration', 'exercise_time', 'resting_hr']"
422,"['active_energy', 'workout_duration', 'steps']"
423,"['workout_duration', 'active_energy', 'distance']"
424,"['workout_duration', 'exercise_time', 'active_energy']"
425,"['workout_duration', 'active_energy', 'distance']"
426,"['workout_duration', 'active_energy', 'sleep_duration']"
427,"['workout_duration', 'active_energy', 'resting_hr']"
428,"['workout_duration', 'active_energy', 'avg_hr']"
429,"['workout_duration', 'sleep_duration', 'avg_hr']"
430,"['active_energy', 'workout_duration', 'avg_hr']"
431,"['workout_duration', 'active_energy', 'sleep_duration']"
432,"['workout_duration', 'sleep_duration', 'avg_hr']"
433,"['active_energy', 'workout_duration', 'sleep_duration']"
434,"['workout_duration', 'steps', 'avg_hr']"
435,"['workout_duration', 'distance', 'avg_hr']"
436,"['workout_duration', 'avg_hr', 'active_energy']"
437,"['workout_duration', 'active_energy', 'distance']"
438,"['active_energy', 'workout_duration', 'avg_hr']"
439,"['workout_duration', 'active_energy', 'resting_hr']"
440,"['workout_duration', 'active_energy', 'sleep_duration']"
441,"['active_energy', 'workout_duration', 'avg_hr']"
442,"['workout_duration', 'active_energy', 'avg_hr']"
443,"['active_energy', 'workout_duration', 'sleep_duration']"
444,"['active_energy', 'sleep_duration', 'avg_hr']"
445,"['workout_duration', 'active_energy', 'sleep_duration']"
446,"['workout_duration', 'active_energy', 'avg_hr']"
447,"['workout_duration', 'active_energy', 'exercise_time']"
448,"['active_energy', 'workout_duration', 'exercise_time']"
449,"['workout_duration', 'distance', 'sleep_duration']"
450,"['avg_hr', 'steps', 'workout_duration']"
451,"['distance', 'workout_duration', 'active_energy']"
452,"['workout_duration', 'avg_hr', 'steps']"
453,"['workout_duration', 'active_energy', 'avg_hr']"
454,"['workout_duration', 'active_energy', 'avg_hr']"
455,"['active_energy', 'steps', 'workout_duration']"
456,"['workout_duration', 'active_energy', 'avg_hr']"
457,"['workout_duration', 'active_energy', 'distance']"
458,"['workout_duration', 'active_energy', 'sleep_duration']"
459,"['active_energy', 'workout_duration', 'distance']"
460,"['active_energy', 'workout_duration', 'distance']"
461,"['workout_duration', 'avg_hr', 'resting_hr']"
462,"['workout_duration', 'active_energy', 'resting_hr']"
463,"['workout_duration', 'resting_hr', 'active_energy']"
464,"['workout_duration', 'active_energy', 'avg_hr']"
465,"['workout_duration', 'avg_hr', 'active_energy']"
466,"['workout_duration', 'active_energy', 'distance']"
467,"['workout_duration', 'active_energy', 'avg_hr']"
468,"['workout_duration', 'resting_hr', 'active_energy']"
469,"['workout_duration', 'distance', 'avg_hr']"
470,"['workout_duration', 'active_energy', 'avg_hr']"
471,"['active_energy', 'avg_hr', 'resting_hr']"
472,"['workout_duration', 'exercise_time', 'active_energy']"
473,"['workout_duration', 'active_energy', 'steps']"
474,"['active_energy', 'workout_duration', 'avg_hr']"
475,"['workout_duration', 'avg_hr', 'active_energy']"
476,"['avg_hr', 'active_energy', 'workout_duration']"
477,"['workout_duration', 'resting_hr', 'active_energy']"
478,"['workout_duration', 'avg_hr', 'active_energy']"
479,"['workout_duration', 'active_energy', 'avg_hr']"
480,"['workout_duration', 'active_energy', 'avg_hr']"
481,"['active_energy', 'workout_duration', 'avg_hr']"
482,"['active_energy', 'workout_duration', 'sleep_duration']"
483,"['workout_duration', 'active_energy', 'avg_hr']"
484,"['workout_duration', 'active_energy', 'sleep_duration']"
485,"['workout_duration', 'active_energy', 'avg_hr']"
486,"['avg_hr', 'active_energy', 'workout_duration']"
487,"['workout_duration', 'active_energy', 'sleep_duration']"
488,"['workout_duration', 'active_energy', 'avg_hr']"
489,"['workout_duration', 'active_energy', 'sleep_duration']"
490,"['active_energy', 'avg_hr', 'workout_duration']"
491,"['active_energy', 'workout_duration', 'avg_hr']"
492,"['avg_hr', 'active_energy', 'workout_duration']"
493,"['active_energy', 'steps', 'workout_duration']"
494,"['workout_duration', 'avg_hr', 'distance']"
495,"['active_energy', 'workout_duration', 'sleep_duration']"
496,"['workout_duration', 'active_energy', 'exercise_time']"
497,"['workout_duration', 'steps', 'active_energy']"
498,"['avg_hr', 'workout_duration', 'active_energy']"
499,"['active_energy', 'workout_duration', 'distance']"
500,"['sleep_duration', 'steps', 'workout_duration']"
501,"['workout_duration', 'active_energy', 'avg_hr']"
502,"['active_energy', 'workout_duration', 'sleep_duration']"
503,"['active_energy', 'workout_duration', 'sleep_duration']"
504,"['active_energy', 'workout_duration', 'avg_hr']"
505,"['workout_duration', 'active_energy', 'avg_hr']"
506,"['workout_duration', 'active_energy', 'distance']"
507,"['workout_duration', 'active_energy', 'avg_hr']"
508,"['workout_duration', 'sleep_duration', 'active_energy']"
509,"['active_energy', 'sleep_duration', 'avg_hr']"
510,"['workout_duration', 'active_energy', 'avg_hr']"
511,"['workout_duration', 'active_energy', 'avg_hr']"
512,"['workout_duration', 'active_energy', 'avg_hr']"
513,"['workout_duration', 'steps', 'active_energy']"
514,"['active_energy', 'workout_duration', 'avg_hr']"
515,"['workout_duration', 'active_energy', 'avg_hr']"
516,"['active_energy', 'workout_duration', 'steps']"
517,"['workout_duration', 'sleep_duration', 'distance']"
518,"['workout_duration', 'avg_hr', 'active_energy']"
519,"['workout_duration', 'resting_hr', 'steps']"
520,"['workout_duration', 'avg_hr', 'active_energy']"
521,"['active_energy', 'avg_hr', 'workout_duration']"
522,"['active_energy', 'workout_duration', 'avg_hr']"
523,"['workout_duration', 'active_energy', 'exercise_time']"
524,"['active_energy', 'workout_duration', 'resting_hr']"
525,"['workout_duration', 'avg_hr', 'active_energy']"
526,"['active_energy', 'workout_duration', 'avg_hr']"
527,"['active_energy', 'avg_hr', 'workout_duration']"
528,"['workout_duration', 'avg_hr', 'steps']"
