sex,age,weight_kg,height_cm,activity_level,tdee,protein_needed_g,fats_needed_g,carbs_needed_g,water_needed_liters,steps,walking_running_minutes,flights_climbed,cardio_vo2max,cardio_recovery_bpm,cholesterol_mg,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,trans_fats_g
Male,35,68,177,light,2222.34375,111.1171875,74.078125,277.79296875,2.244,10036,1,1,31,17,280,19,18,8,1
Female,48,82,181,sedentary,1860.3,93.015,62.00999999999999,232.5375,2.706,7677,27,10,36,36,271,12,9,10,3
Female,47,72,154,active,2219.2125,110.96062500000001,73.97375,277.4015625,2.3760000000000003,10972,73,10,38,19,243,14,11,10,4
Female,56,65,187,active,2376.61875,118.8309375,79.220625,297.07734375,2.145,18329,85,7,54,23,14,19,17,5,3
Female,52,98,159,light,2135.03125,106.7515625,71.16770833333334,266.87890625,3.234,7264,80,31,41,23,225,14,19,12,1
Female,35,87,189,very_active,3258.975,162.94875000000002,108.6325,407.371875,2.871,6133,89,5,34,36,130,16,16,6,3
Male,59,62,173,sedentary,1693.5,84.67500000000001,56.449999999999996,211.6875,2.0460000000000003,14612,66,19,30,29,194,11,9,17,4
Female,56,80,184,active,2603.025,130.15125,86.7675,325.378125,2.64,17158,70,38,51,31,292,16,15,9,1
Female,34,79,172,sedentary,1840.8,92.04,61.36,230.1,2.607,12735,107,34,44,20,208,7,5,8,3
Male,31,89,166,active,3066.1875,153.30937500000002,102.20625,383.2734375,2.9370000000000003,4689,71,7,37,15,112,8,16,9,0
Female,48,99,150,very_active,2900.35,145.0175,96.67833333333333,362.54375,3.2670000000000003,12763,83,49,30,30,243,19,13,9,2
Male,41,53,180,active,2509.875,125.49375,83.6625,313.734375,1.749,10727,75,48,47,39,165,13,7,19,1
Female,52,97,180,active,2887.65,144.38250000000002,96.255,360.95625,3.201,10764,98,42,42,10,190,18,6,14,0
Male,61,82,183,moderate,2578.8125,128.940625,85.96041666666666,322.3515625,2.706,16003,80,33,58,28,256,17,14,12,4
Female,62,74,158,very_active,2387.35,119.3675,79.57833333333332,298.41875,2.442,3818,91,18,30,16,217,12,10,14,2
Female,51,88,171,light,2107.53125,105.3765625,70.25104166666667,263.44140625,2.904,17439,104,6,34,33,274,16,12,11,1
Male,20,78,162,light,2334.0625,116.703125,77.80208333333333,291.7578125,2.5740000000000003,18077,9,30,47,27,51,16,6,16,2
Male,54,76,174,very_active,3006.75,150.3375,100.225,375.84375,2.508,7521,85,17,45,12,157,5,8,18,1
Male,60,47,167,light,1675.78125,83.7890625,55.859375,209.47265625,1.5510000000000002,4124,101,39,55,29,54,7,6,13,1
Male,57,47,161,very_active,2272.875,113.64375000000001,75.76249999999999,284.109375,1.5510000000000002,8660,56,13,39,39,13,18,16,16,3
Male,43,72,189,light,2325.46875,116.2734375,77.515625,290.68359375,2.3760000000000003,8641,96,38,59,20,268,16,16,15,2
Male,40,88,166,moderate,2669.875,133.49375,88.99583333333334,333.734375,2.904,4702,85,35,33,14,89,14,13,17,2
Male,61,59,164,light,1808.125,90.40625,60.270833333333336,226.015625,1.947,14139,107,16,30,28,26,6,14,19,0
Male,56,85,164,active,2760.0,138.0,92.0,345.0,2.805,18702,36,36,52,30,88,6,17,5,4
Female,32,67,164,very_active,2610.6,130.53,87.02,326.325,2.2110000000000003,9523,76,43,37,33,40,17,19,10,0
Female,21,84,188,sedentary,2098.7999999999997,104.94,69.95999999999998,262.34999999999997,2.7720000000000002,15397,90,8,34,33,267,17,6,10,3
Male,46,55,162,sedentary,1605.0,80.25,53.5,200.625,1.8150000000000002,11111,63,19,31,39,137,12,14,6,1
Female,39,92,166,very_active,3042.85,152.1425,101.42833333333333,380.35625,3.036,5401,78,44,53,11,5,10,6,15,3
Female,42,76,181,moderate,2356.3875000000003,117.81937500000002,78.54625000000001,294.54843750000003,2.508,12481,85,27,46,31,241,16,18,12,3
Female,30,98,158,light,2277.6875,113.884375,75.92291666666667,284.7109375,3.234,13067,93,49,36,13,161,16,17,10,0
Female,35,80,189,moderate,2550.1375000000003,127.50687500000002,85.00458333333334,318.76718750000003,2.64,16376,106,19,46,34,179,16,9,15,1
Male,50,77,169,sedentary,1897.5,94.875,63.25,237.1875,2.541,16824,39,40,57,19,296,17,16,17,4
Female,33,68,175,very_active,2750.725,137.53625,91.69083333333333,343.840625,2.244,16444,100,35,35,11,5,10,9,14,3
Male,62,83,176,very_active,3087.5,154.375,102.91666666666667,385.9375,2.7390000000000003,15879,97,26,58,17,270,8,16,13,4
Female,59,78,170,moderate,2149.0750000000003,107.45375000000001,71.63583333333334,268.63437500000003,2.5740000000000003,19112,107,7,51,10,271,5,11,14,1
Female,61,72,167,moderate,2011.5125,100.575625,67.05041666666666,251.4390625,2.3760000000000003,3539,59,31,44,36,155,15,5,9,1
Female,19,81,162,light,2153.9375,107.696875,71.79791666666667,269.2421875,2.673,13974,97,0,34,15,84,11,16,11,0
Male,52,51,165,active,2218.78125,110.9390625,73.959375,277.34765625,1.683,16846,47,16,44,20,199,12,6,10,2
Female,59,48,158,active,1744.8375,87.24187500000001,58.161249999999995,218.1046875,1.584,8615,116,8,47,36,9,6,15,15,0
Male,51,81,161,light,2153.59375,107.6796875,71.78645833333333,269.19921875,2.673,19016,98,19,47,39,137,6,15,19,4
Female,47,45,187,active,2109.24375,105.46218750000001,70.308125,263.65546875,1.485,5956,105,44,54,37,241,5,10,9,0
Male,30,45,168,sedentary,1626.0,81.30000000000001,54.199999999999996,203.25,1.485,11077,18,31,50,19,200,8,6,10,1
Female,30,91,156,active,2715.15,135.75750000000002,90.505,339.39375,3.003,6722,71,1,50,22,155,10,8,8,3
Male,35,64,184,light,2227.5,111.375,74.25,278.4375,2.112,15059,102,31,52,10,274,18,14,7,2
Male,49,63,167,active,2473.21875,123.6609375,82.440625,309.15234375,2.079,8087,32,44,35,11,224,9,10,17,1
Female,49,73,165,very_active,2574.975,128.74875,85.8325,321.871875,2.4090000000000003,13338,43,8,31,12,67,8,17,5,3
Male,52,54,188,moderate,2263.0,113.15,75.43333333333334,282.875,1.782,5170,91,29,56,18,183,18,16,5,4
Female,56,62,153,sedentary,1362.3,68.115,45.41,170.2875,2.0460000000000003,6391,36,19,46,14,194,8,11,10,4
Female,63,72,174,very_active,2529.85,126.4925,84.32833333333332,316.23125,2.3760000000000003,9942,111,37,50,19,41,14,14,18,4
Female,46,79,181,very_active,2907.475,145.37375,96.91583333333332,363.434375,2.607,16806,88,0,33,19,150,19,9,13,0
Female,46,87,189,light,2282.84375,114.1421875,76.09479166666667,285.35546875,2.871,17792,35,4,41,21,83,11,12,12,4
Female,61,91,162,moderate,2257.5750000000003,112.87875000000003,75.2525,282.19687500000003,3.003,15809,80,34,48,27,133,11,10,16,4
Female,33,75,166,moderate,2265.3250000000003,113.26625000000001,75.51083333333334,283.16562500000003,2.475,17855,87,35,31,35,297,6,9,6,0
Female,61,71,186,sedentary,1687.8,84.39,56.26,210.975,2.343,12108,20,0,55,30,29,17,8,13,3
Female,64,55,155,light,1426.90625,71.3453125,47.563541666666666,178.36328125,1.8150000000000002,9458,1,13,31,30,8,11,10,12,1
Female,27,93,168,sedentary,2020.8,101.04,67.36,252.6,3.069,5756,30,8,43,10,169,6,10,18,2
Female,47,93,162,active,2667.7125,133.385625,88.92375,333.4640625,3.069,9853,107,29,44,12,289,8,10,18,4
Female,42,82,175,very_active,2931.225,146.56125,97.7075,366.403125,2.706,10709,96,23,49,14,167,19,5,16,4
Male,56,49,163,sedentary,1480.5,74.025,49.349999999999994,185.0625,1.617,15847,29,3,31,34,144,5,10,13,4
Male,37,52,180,very_active,2783.5,139.175,92.78333333333333,347.9375,1.7160000000000002,10297,75,49,33,35,227,9,5,8,0
Female,22,78,153,light,2014.71875,100.7359375,67.15729166666667,251.83984375,2.5740000000000003,19256,43,13,48,26,75,5,9,13,0
Female,18,92,188,active,3180.9,159.04500000000002,106.03,397.6125,3.036,6203,11,24,38,17,222,8,11,6,0
Female,47,96,157,light,2124.71875,106.2359375,70.82395833333334,265.58984375,3.168,9499,50,3,36,26,176,17,5,17,2
Female,20,56,174,active,2391.7125,119.58562500000001,79.72375,298.9640625,1.848,8173,48,24,59,18,188,13,17,5,1
Female,62,82,162,active,2348.5875,117.42937500000001,78.28625,293.5734375,2.706,14650,115,9,42,15,45,17,5,17,4
Female,31,45,181,very_active,2403.975,120.19875,80.1325,300.496875,1.485,12173,23,34,56,26,16,16,17,13,3
Female,47,75,187,light,2093.78125,104.6890625,69.79270833333334,261.72265625,2.475,10382,23,6,41,17,65,12,17,14,4
Female,21,48,187,light,1901.28125,95.0640625,63.376041666666666,237.66015625,1.584,3801,59,41,32,30,260,10,19,12,4
Male,35,93,177,sedentary,2239.5,111.97500000000001,74.65,279.9375,3.069,11234,10,12,42,16,122,19,10,11,4
Female,54,89,179,light,2169.40625,108.4703125,72.31354166666667,271.17578125,2.9370000000000003,16897,12,3,44,16,230,12,19,18,4
Male,42,94,152,sedentary,2022.0,101.10000000000001,67.4,252.75,3.1020000000000003,18197,90,49,43,24,124,9,11,17,1
Female,18,49,177,moderate,2085.1375000000003,104.25687500000002,69.50458333333334,260.64218750000003,1.617,12969,71,42,53,16,111,11,10,12,3
Female,63,74,152,moderate,1881.7,94.08500000000001,62.72333333333333,235.2125,2.442,6201,73,35,38,31,271,12,9,16,0
Male,32,68,183,moderate,2586.5625,129.328125,86.21875,323.3203125,2.244,19733,71,13,42,36,80,11,10,5,3
Female,26,47,165,light,1664.09375,83.2046875,55.469791666666666,208.01171875,1.5510000000000002,12972,63,17,52,17,245,18,17,18,4
Male,32,55,171,light,2012.65625,100.6328125,67.08854166666667,251.58203125,1.8150000000000002,3583,19,7,51,18,214,8,18,13,3
Female,41,89,181,sedentary,1986.3,99.315,66.21,248.2875,2.9370000000000003,15719,71,31,33,37,234,9,7,16,4
Female,21,48,187,active,2385.24375,119.26218750000001,79.508125,298.15546875,1.584,6377,72,26,50,24,81,17,13,14,3
Male,29,70,157,sedentary,1849.5,92.47500000000001,61.650000000000006,231.1875,2.31,17855,70,41,37,11,293,18,19,15,2
Female,54,71,157,moderate,1953.3875,97.669375,65.11291666666666,244.1734375,2.343,6401,77,36,32,16,75,14,9,13,3
Male,54,90,155,sedentary,1924.5,96.22500000000001,64.15,240.5625,2.97,16636,27,22,31,24,14,10,6,19,0
Female,60,98,163,active,2652.61875,132.63093750000002,88.420625,331.57734375,3.234,18738,1,6,48,27,219,18,18,16,0
Male,23,87,181,light,2600.46875,130.0234375,86.68229166666667,325.05859375,2.871,9772,42,11,57,31,229,18,18,15,3
Male,56,71,184,sedentary,1902.0,95.10000000000001,63.400000000000006,237.75,2.343,13131,7,24,52,27,264,16,16,13,3
Female,63,86,159,moderate,2135.5125000000003,106.77562500000002,71.18375,266.93906250000003,2.838,3788,12,2,37,19,263,15,14,17,1
Female,41,95,152,moderate,2377.7000000000003,118.88500000000002,79.25666666666667,297.21250000000003,3.1350000000000002,19184,84,25,46,31,109,10,14,18,3
Male,28,94,161,light,2490.46875,124.5234375,83.015625,311.30859375,3.1020000000000003,5889,110,3,42,27,199,17,11,10,0
Female,30,50,180,sedentary,1576.8,78.84,52.559999999999995,197.1,1.6500000000000001,12569,91,41,36,10,225,13,7,8,2
Female,51,59,178,active,2219.2125,110.96062500000001,73.97375,277.4015625,1.947,13141,34,35,38,16,184,14,5,17,0
Female,42,97,154,light,2147.0625,107.353125,71.56875,268.3828125,3.201,14934,22,14,41,12,30,18,7,6,1
Male,24,74,174,sedentary,2055.0,102.75,68.5,256.875,2.442,12769,45,31,58,23,101,18,13,15,3
Male,21,86,180,very_active,3581.5,179.07500000000002,119.38333333333334,447.6875,2.838,10612,14,28,43,21,258,6,9,8,2
Male,25,81,170,moderate,2716.375,135.81875,90.54583333333333,339.546875,2.673,19205,1,9,43,23,98,10,11,11,0
Male,37,81,169,active,2908.78125,145.4390625,96.959375,363.59765625,2.673,16934,60,20,44,38,298,17,7,5,2
Male,46,86,188,active,3122.25,156.1125,104.07499999999999,390.28125,2.838,13095,114,15,32,13,284,7,8,18,4
Male,62,81,171,active,2714.71875,135.7359375,90.490625,339.33984375,2.673,7240,75,46,44,22,265,18,5,13,0
Male,63,79,153,moderate,2226.1875,111.309375,74.20625,278.2734375,2.607,13748,63,18,48,25,139,6,7,7,4
Male,27,67,162,sedentary,1863.0,93.15,62.099999999999994,232.875,2.2110000000000003,8298,51,28,53,25,285,10,11,17,2
Male,60,50,169,light,1734.21875,86.7109375,57.807291666666664,216.77734375,1.6500000000000001,4861,35,17,49,31,215,8,8,17,3
Female,51,48,162,sedentary,1291.8,64.59,43.059999999999995,161.475,1.584,17142,66,43,43,14,31,9,19,8,3
Male,43,62,166,light,1990.3125,99.515625,66.34375,248.7890625,2.0460000000000003,10320,68,15,37,29,87,9,6,16,3
Female,58,53,185,active,2130.80625,106.54031250000001,71.026875,266.35078125,1.749,14367,66,0,34,34,62,7,18,9,4
Female,20,93,182,sedentary,2167.7999999999997,108.38999999999999,72.25999999999999,270.97499999999997,3.069,8247,46,47,59,15,278,16,9,16,3
Female,23,73,150,active,2400.3375,120.01687500000001,80.01125,300.0421875,2.4090000000000003,4734,82,1,48,15,73,8,19,17,1
Male,22,57,164,very_active,2831.0,141.55,94.36666666666666,353.875,1.881,7663,1,14,33,27,123,7,9,7,0
Male,22,91,162,active,3135.1875,156.759375,104.50625,391.8984375,3.003,8909,43,38,43,15,268,11,19,8,0
Male,64,96,166,active,2902.3125,145.115625,96.74375,362.7890625,3.168,15818,100,27,45,16,284,19,6,9,2
Male,40,61,173,light,2057.34375,102.8671875,68.578125,257.16796875,2.013,11163,63,0,49,33,120,5,19,16,4
Female,26,89,157,very_active,3002.475,150.12375,100.0825,375.309375,2.9370000000000003,16358,117,4,53,39,211,19,19,5,0
Male,52,76,176,active,2768.625,138.43125,92.2875,346.078125,2.508,9668,80,41,35,33,147,10,15,18,4
Male,37,92,172,active,3130.875,156.54375000000002,104.3625,391.359375,3.036,16016,77,21,52,25,77,8,10,13,2
Male,59,66,157,very_active,2567.375,128.36875,85.57916666666667,320.921875,2.178,11001,27,35,54,18,13,5,14,14,3
Male,52,48,157,very_active,2291.875,114.59375,76.39583333333333,286.484375,1.584,12921,90,45,35,35,135,5,8,17,2
Male,35,49,175,sedentary,1696.5,84.825,56.55,212.0625,1.617,5191,53,12,32,36,279,9,18,14,1
Female,34,81,162,light,2050.8125,102.540625,68.36041666666667,256.3515625,2.673,11859,73,0,44,22,78,18,5,17,3
Male,41,85,188,very_active,3467.5,173.375,115.58333333333333,433.4375,2.805,11872,66,15,58,21,242,9,7,18,3
Female,20,93,186,very_active,3479.85,173.9925,115.99499999999999,434.98125,3.069,7922,35,40,32,28,192,14,18,8,3
Male,49,57,177,moderate,2226.1875,111.309375,74.20625,278.2734375,1.881,7392,101,21,40,35,241,11,13,17,2
Female,52,78,174,very_active,2748.35,137.4175,91.61166666666666,343.54375,2.5740000000000003,16541,119,31,32,32,50,17,14,13,1
Male,55,89,165,light,2270.46875,113.5234375,75.68229166666667,283.80859375,2.9370000000000003,18015,62,15,57,32,231,16,11,8,4
Male,30,66,151,active,2516.34375,125.8171875,83.878125,314.54296875,2.178,6227,24,14,39,10,258,8,17,18,2
Female,64,97,167,active,2643.99375,132.1996875,88.133125,330.49921875,3.201,5024,85,45,47,17,217,18,10,5,0
Female,42,67,166,active,2305.4625,115.27312500000001,76.84875,288.1828125,2.2110000000000003,19713,47,41,30,13,205,13,18,16,0
Female,26,95,179,active,3066.61875,153.3309375,102.220625,383.32734375,3.1350000000000002,5486,38,11,45,30,119,8,5,9,2
Male,21,47,188,moderate,2394.75,119.73750000000001,79.82499999999999,299.34375,1.5510000000000002,4155,46,0,45,39,79,11,13,17,4
Female,31,86,162,very_active,2957.35,147.8675,98.57833333333332,369.66875,2.838,13082,93,16,56,31,41,9,17,13,0
Male,54,78,181,active,2839.78125,141.98906250000002,94.659375,354.97265625,2.5740000000000003,7477,20,40,39,28,20,19,13,7,4
Male,51,76,178,sedentary,1947.0,97.35000000000001,64.9,243.375,2.508,10086,29,49,30,30,9,9,5,9,3
Female,28,89,179,active,2945.86875,147.2934375,98.195625,368.23359375,2.9370000000000003,5317,91,27,33,35,152,10,18,7,2
Female,58,95,167,very_active,2931.225,146.56125,97.7075,366.403125,3.1350000000000002,6621,30,6,32,14,293,12,17,16,3
Male,20,93,162,active,3186.9375,159.346875,106.23124999999999,398.3671875,3.069,7491,115,8,34,26,85,19,17,7,0
Male,45,65,170,moderate,2313.375,115.66875,77.1125,289.171875,2.145,18916,25,21,41,12,112,9,19,5,4
Female,46,90,179,light,2238.15625,111.9078125,74.60520833333334,279.76953125,2.97,18248,106,25,54,28,188,19,10,6,3
Female,26,88,170,light,2270.8125,113.540625,75.69375,283.8515625,2.904,5511,21,11,41,10,111,7,11,6,0
Female,20,65,166,very_active,2710.35,135.5175,90.34499999999998,338.79375,2.145,12546,20,6,42,38,174,10,6,13,1
Male,42,88,189,light,2552.34375,127.6171875,85.078125,319.04296875,2.904,18612,0,45,53,32,3,18,14,11,3
Male,51,55,168,light,1856.25,92.8125,61.875,232.03125,1.8150000000000002,10848,36,46,41,10,221,16,12,12,1
Male,29,83,164,sedentary,2058.0,102.9,68.6,257.25,2.7390000000000003,17274,76,14,54,32,220,18,12,6,1
Male,59,48,158,very_active,2237.25,111.86250000000001,74.57499999999999,279.65625,1.584,5465,84,37,45,29,170,6,10,13,0
Male,26,95,159,very_active,3455.625,172.78125,115.1875,431.953125,3.1350000000000002,19304,45,20,42,18,212,16,13,17,2
Male,32,45,180,light,1952.5,97.625,65.08333333333333,244.0625,1.485,18669,8,13,34,32,252,16,7,7,4
Female,57,72,172,light,1854.875,92.74375,61.829166666666666,231.859375,2.3760000000000003,14294,16,1,53,14,123,12,6,14,0
Male,42,68,179,light,2191.40625,109.5703125,73.046875,273.92578125,2.244,6175,46,7,33,16,127,12,6,17,3
Male,22,79,182,moderate,2824.875,141.24375,94.1625,353.109375,2.607,10849,84,44,50,34,212,19,10,6,4
Male,28,57,158,active,2453.8125,122.69062500000001,81.79374999999999,306.7265625,1.881,15473,94,5,44,35,111,7,11,16,2
Female,51,91,150,moderate,2218.8250000000003,110.94125000000003,73.96083333333334,277.35312500000003,3.003,12425,102,36,41,15,84,16,10,5,0
Male,41,78,184,very_active,3287.0,164.35000000000002,109.56666666666666,410.875,2.5740000000000003,15222,58,36,48,26,3,12,15,13,2
Male,32,55,160,sedentary,1674.0,83.7,55.8,209.25,1.8150000000000002,11444,53,32,50,31,64,13,7,12,3
Female,55,80,183,active,2600.86875,130.0434375,86.695625,325.10859375,2.64,11210,85,40,57,26,119,9,9,17,0
Male,25,95,165,sedentary,2233.5,111.67500000000001,74.44999999999999,279.1875,3.1350000000000002,5759,11,5,48,22,242,9,12,19,3
Male,22,61,158,very_active,2835.75,141.7875,94.525,354.46875,2.013,19091,63,25,50,21,136,10,10,16,4
Male,43,79,181,very_active,3251.375,162.56875000000002,108.37916666666666,406.421875,2.607,3002,118,38,40,13,246,11,6,15,4
Male,35,62,164,sedentary,1770.0,88.5,59.0,221.25,2.0460000000000003,11190,5,40,59,39,44,7,19,8,2
Male,23,84,161,sedentary,2083.5,104.17500000000001,69.44999999999999,260.4375,2.7720000000000002,18248,52,36,50,17,145,9,11,11,2
Female,54,66,182,sedentary,1639.8,81.99000000000001,54.66,204.975,2.178,8773,15,13,35,14,175,5,12,16,4
Female,30,68,163,very_active,2636.725,131.83625,87.89083333333332,329.590625,2.244,15786,89,36,38,14,41,15,8,18,1
Female,45,63,157,light,1684.71875,84.2359375,56.157291666666666,210.58984375,2.079,18037,4,7,30,22,296,14,16,7,4
Male,22,81,157,sedentary,2023.5,101.17500000000001,67.44999999999999,252.9375,2.673,4885,72,38,41,35,88,9,5,7,0
Male,30,83,176,active,3079.125,153.95625,102.63749999999999,384.890625,2.7390000000000003,10060,45,12,55,20,217,8,6,8,3
Male,34,65,161,very_active,2833.375,141.66875000000002,94.44583333333333,354.171875,2.145,19331,103,12,43,17,227,5,8,6,4
Female,57,52,150,moderate,1567.825,78.39125000000001,52.26083333333333,195.978125,1.7160000000000002,10844,13,39,35,17,297,11,11,18,4
Male,62,72,189,moderate,2474.1875,123.70937500000001,82.47291666666666,309.2734375,2.3760000000000003,16450,43,42,30,10,290,19,6,14,3
Male,49,49,160,active,2156.25,107.8125,71.875,269.53125,1.617,12491,62,27,51,22,66,5,10,8,3
Female,46,61,188,light,1916.75,95.8375,63.891666666666666,239.59375,2.013,12268,105,17,31,38,250,17,6,14,0
Male,20,81,180,sedentary,2208.0,110.4,73.6,276.0,2.673,12139,93,18,53,14,40,12,16,7,3
Female,57,80,166,very_active,2643.85,132.1925,88.12833333333333,330.48125,2.64,9791,51,37,40,37,98,18,11,12,2
Female,51,98,182,sedentary,2041.8,102.09,68.06,255.225,3.234,10171,115,31,32,30,78,14,6,15,4
Female,57,63,181,very_active,2498.975,124.94875,83.29916666666666,312.371875,2.079,3093,25,21,39,17,198,16,7,6,3
Male,44,71,178,moderate,2491.625,124.58125000000001,83.05416666666666,311.453125,2.343,5987,52,1,59,26,146,6,13,15,0
Male,30,97,170,sedentary,2265.0,113.25,75.5,283.125,3.201,15847,108,12,35,32,105,14,17,13,3
Male,62,78,170,active,2652.1875,132.609375,88.40625,331.5234375,2.5740000000000003,12967,28,22,35,32,192,17,19,7,4
Male,50,55,189,light,2043.59375,102.1796875,68.11979166666667,255.44921875,1.8150000000000002,19218,18,24,49,22,121,16,8,8,1
Male,23,98,172,active,3355.125,167.75625000000002,111.83749999999999,419.390625,3.234,13452,46,27,50,18,76,9,18,17,3
Male,41,89,155,light,2280.78125,114.0390625,76.02604166666667,285.09765625,2.9370000000000003,11627,7,10,31,11,111,17,9,14,2
Male,36,91,171,sedentary,2164.5,108.22500000000001,72.15,270.5625,3.003,7947,22,32,55,28,296,10,13,18,4
Female,33,56,187,sedentary,1683.3,84.165,56.10999999999999,210.4125,1.848,9651,116,23,55,29,169,13,11,19,0
Male,57,98,186,light,2560.9375,128.046875,85.36458333333333,320.1171875,3.234,6144,105,1,53,26,5,19,12,14,4
Female,45,65,157,moderate,1930.1375,96.50687500000001,64.33791666666667,241.2671875,2.145,19460,34,29,39,16,196,18,19,19,1
